track_id,track_name,artist_name,album_name,release_date,release_date_precision,loudness
0B9x2BRHqj3Qer7biM3pU3,You're The One That I Want - From “Grease”,"Olivia Newton-John, John Travolta",Grease (The Original Motion Picture Soundtrack),1978-04-04,day,-11.403
0BCPKOYdS2jbQ8iyB56Zns,Clocks,Coldplay,A Rush of Blood to the Head,2002-08-08,day,-7.215
0BCy325UZyR9z0t0uxwn2N,H.O.L.Y.,Florida Georgia Line,Dig Your Roots,2016-08-26,day,-4.081
0BJU4rYOfj43xHw6gvTIwE,Hold Me Now,Thompson Twins,Into The Gap,1984-10-01,day,-12.794
0BTGqPIW9acmhhUmENkq5r,If You Love Me,Brownstone,From The Bottom Up,1993-06-01,day,-10.224
0BTjoeNHz0mSjXCZO4hzad,Da Doo Ron Ron,Shaun Cassidy,Shaun Cassidy,1977-06-07,day,-11.553
0BUoLE4o9eVahDHvTqak67,Unpretty,TLC,Fanmail,1999-02-23,day,-6.063
0ByMNEPAPpOR5H69DVrTNy,Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,2008-06-02,day,-5.582
0CAJdthKDdRjB2h8YOguN6,What You Know,T.I.,King,2006-03-26,day,-4.365
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),"T-Pain, Flo Rida",Mail on Sunday,2008-03-17,day,-5.64
0CJ3Y3V6UQn5X7IjXDO3IO,Cisco Kid,"War, Redman, Method Man, Cypress Hill",How High,2001-01-01,day,-5.865
0CmXXEwul09Kf8X68lPA5l,Missing You,Case,Open Letter,2001-01-01,day,-6.417
0CsM8VGDi38kusMv3pxyj1,True - Single Edit,Spandau Ballet,True - The Digital E.P.,2008-04-25,day,-9.098
0CwYG1UnRmOx8Q1EzElCIL,Second Chance,Shinedown,The Sound of Madness,2008-06-24,day,-4.501
0DBIL8arX0Zo6eAuxNIpik,Bump n' Grind,R. Kelly,12 Play,1993-11-07,day,-8.016
0DEwNI2DgasX1eprqCivJk,A Woman Needs Love (Just Like You Do),"Raydio, Ray Parker Jr.",A Woman Needs Love (Expanded Edition),1981,year,-14.937
0DLOyyQvwPTSDKuhpzMMwA,I'm Sprung,T-Pain,Rappa Ternt Sanga (Expanded Edition),2005-12-06,day,-11.596
0Dc7J9VPV4eOInoxUiZrsL,Don't Tell 'Em,"YG, Jeremih",Late Nights: The Album,2015-12-04,day,-5.225
0DcrhZ12WcCqruCs8ibXSf,I Can See Clearly Now - Edit,Johnny Nash,I Can See Clearly Now,1972,year,-13.2
0DfG1ltJnZyq4Tx3ZLL7ZU,Rock Me Amadeus - The Gold Mix,Falco,Falco 3,1985-02-19,day,-9.45
0DiDStADDVh3SvAsoJAFMk,Only Human,Jonas Brothers,Happiness Begins,2019-06-07,day,-5.883
0Dm43YLUlGdePpSbI1ct8h,Part-Time Lover,Stevie Wonder,In Square Circle,1985-09-13,day,-13.606
